Data Provider,Satellite,Facility,Sensor
Access Listing,75,75,75
Active Constraints,14,14,14
All Constraints,14,14,14
Angles,21,6,3
Articulation,11,11,
Astrogator Accel Hist,1,,
Astrogator Log,1,,
Astrogator MCS Ephemeris Segments,6,,
Astrogator Maneuver Ephemeris Block Final,254,,
Astrogator Maneuver Ephemeris Block History,254,,
Astrogator Maneuver Ephemeris Block Initial,254,,
Astrogator Pass Data,377,,
Astrogator Script Summary,1,,
Astrogator Targeter Data,1,,
Astrogator Terminal Stopping Condition,1,,
Astrogator Values,377,,
Attitude Quaternions,11,,
Attitude Segment Description,1,,
Attitude Segment ECF Quaternions,14,,
Attitude Segment Euler Angles,84,,
Attitude Segment Quaternions,14,,
Attitude Segment Schedule,6,,
Attitude Segment YPR,42,,
Attitude YPR,42,,
Available Times,2,2,2
Axes Choose Axes,816,192,72
Beta Angle,3,,
Body Axes Orientation,1155,297,165
Body Axes Orientation:YPR 123,1155,297,165
Body Axes Orientation:YPR 132,1155,297,165
Body Axes Orientation:YPR 213,1155,297,165
Body Axes Orientation:YPR 231,1155,297,165
Body Axes Orientation:YPR 312,1155,297,165
Body Axes Orientation:YPR 321,1155,297,165
Brouwer-Lyd Mean Long,110,,
Brouwer-Lyd Mean Short,110,,
Cartesian Acceleration,132,,
Cartesian Position,48,3,
Cartesian Velocity,84,,
Classical Elements,210,,
Close Approach Compute Results,1,,
Close Approach Definition,1,,
Close Approach Filter Settings,1,,
CloseApproach,14,,
CloseApproachByMinRange,14,,
CloseApproachBySSC,14,,
Collection of Interval Lists,4,4,8
Condition,8,4,4
Condition Set,28,28,28
Configured Constraints,14,14,14
Crdn Available Times,2,2,2
Data Provider Detail,1,1,1
Data Provider Summary,1,1,1
DeckAccess,5,5,5
DeckAccess Data,145,145,145
Delaunay Elements,70,,
ECF Attitude Quaternions,11,,
Eclipse Definition,2,1,
Eclipse Solar Intensity,5,,
Eclipse Summary,19,,
Eclipse Times,11,7,
Ecliptic Crossings,16,,
Element Set,5,,
Ephemeris Diff,168,,
Ephemeris Diff in Curvilinear Coordinates,9,,
Equinoctial Elements,160,,
Euler Angles,84,,
Geo Station Keeping Elements,44,,
Gravity Model,3,,
Ground Ellipse Definition,12,,
